senal,valor,unidad,detalle,fuente,confianza
Poblacion Bolivia (Censo 2024),11365333,habitantes,Cifra final socializada por INE/UNFPA,INE Censo 2024,alta
Ciudad Santa Cruz de la Sierra,1903398,habitantes,La ciudad mas poblada y la que mas crecio,El Deber / INE,alta
La Paz + El Alto,1640767,habitantes,755.732 + 885.035 (municipios),ANF / Erbol / INE,alta
Cochabamba Cercado,661484,habitantes,Metro Kanata ~1.5M,Opinion / INE,alta
Cuota importada del consumo,86,%,Tesis UMSA: 86% del consumo nacional es importado,Tesis UMSA 26268,media
Mercado importado (INE),40-100,t/anio,Volumen oficial de importaciones 1513.11/1513.19,Microdato INE,alta
Precio minorista aceite de coco,60.35-73.77,Bs/kg,Santa Cruz y El Alto,Selina Wamucii,media
Comunidad keto La Paz,9564,likes FB,Keto Market La Paz; vende aceite Copra,Facebook,media
BeCoco (lider),11738,likes FB,La marca mas distribuida,Facebook,alta
Canal naturista en expansion,7,sucursales,Natural Farma: +350 productos naturales,naturalfarma.bo,alta
Potencial de tesis TROPICOCO,18000,unidades/mes,Proyeccion de tesis UMSA (no venta real; tomar con pinzas),Tesis UMSA 26163,baja
